species,scientificName,occurrenceStatus,decimalLatitude,decimalLongitude,eventDate,year
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,18.845638,-99.206935,41651.60615,2014
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,42.427455,1.482233,45903.74231,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,13.47497,144.75052,43553.78821,2019
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-33.879341,18.716055,45955.38413,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,39.15647,26.49321,45916.4375,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-38.109672,-57.604857,45964.77917,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-28.877221,31.376298,45956.43125,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,25.383333,49.6,NA,NA
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1808",PRESENT,43.673,3.87,45439,2024
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1809",PRESENT,43.646,3.877,45076,2023
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,61.629997,23.830407,1977-03-01T00:00Z/1977-03-31T00:00Z,1977
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-0.6,29.3,19681,1953
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,1.2,30.183333,1939,1939
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-4.45,26.666667,21786,1959
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-5.95,29.2,13227,1936
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-4.783333,15.1,17665,1948
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-9.683333,22.883333,1932,1932
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,1.75,30.6,10629,1929
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-1.333333,29.366667,1950,1950
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-4.083333,22.833333,11355,1931
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,1.383333,28.6,14550,1939
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-1.3,30.333333,11414,1931
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,2.5,27.616667,NA,NA
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,0.783333,24.266667,NA,NA
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,0.516667,25.183333,NA,NA
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-5.816667,13.466667,14001,1938
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-0.2,29.2,NA,NA
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-7.966667,24.466667,13759,1937
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-2.6,29.733333,1949,1949
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-0.1,18.683333,19268,1952
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-30.333333,17.416667,4109,1911
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-11.666667,27.466667,1948,1948
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-0.833333,29.416667,13118,1935
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,3.416667,27.083333,18281,1950
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-5.25,14.866667,17380,1947
